Code,Name,Category,Price_CLP,Availability,Delivery,Inventario,Supplier,Brand
PRI26436,IMPRESORA BROTHER MULTIFUNCIONAL DCP-L5660DN LASER ELECTROFOTOGRAFICO BLANCO Y NEGRO,IMPRESORA BROTHER,693872.2222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI1PV87A,IMPRESORA HP LASERJET ENTERPRISE M507DN MONOCROMATICA 45 PPM,IMPRESORA HP LASERJET,694267.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRIF9J81A,CABEZAL DE IMPRESION ORIGINAL HP 729 (F9J81A),CABEZAL DE IMPRESION,701186.6666666666,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI41351,TONER HP 650A AMARILLO ORIGINAL (CE272A),TONER HP 650A,701404.4444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI17613,TRITURADORA DE PAPEL HSM SECURIO C18,TRITURADORA DE PAPEL,754788.8888888889,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HSM
PRI11964,RELOJ DE CONTROL DE ASISTENCIA AMANO ANALOGO BX-1500,RELOJ DE CONTROL,718248.8888888889,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,SCHARFSTEIN
PRI26834,IMPRESORA EPSON MULTIFUNCIONAL ECOTANK L8050,IMPRESORA MULTIFUNCIONAL,720028.8888888889,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRICF313A,TONER HP 826A MAGENTA LASERJET ORIGINAL (CF313A),TONER HP 826A,723540.0,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI41350,TONER HP 650A CIAN ORIGINAL (CE271A),TONER HP 650A,724388.8888888889,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI81T58LT,NOTEBOOK HP 245 G10 - RYZEN 5 - 8GB - 512 GB - W11H,NOTEBOOK G,728997.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI26853,IMPRESORA BROTHER MULTIFUNCIONAL LASER MFC-L3760CDW,IMPRESORA BROTHER MULTIFUNCIONAL,753162.2222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI12999,TRITURADORA DE PAPEL REXEL MOMENTUM EXTRA XP418+ CHALLA,TRITURADORA DE PAPEL,791932.2222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,REXEL
PRI29961,IMPRESORA LASER BROTHER HL-L8360CDW WI-FI INTEGRADO,IMPRESORA LASER BROTHER,767667.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI29508,IMPRESORA EPSON MULTIFUNCIONAL WORKFORCE PRO WF-C5710,IMPRESORA EPSON MULTIFUNCIONAL,770876.6666666666,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI81G19LT,NOTEBOOK HP 240 G10 - I5 - 8GB - 512 GB - W11H,NOTEBOOK G,774694.4444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI6FW09A,SCANNER HP SCANJET ENTERPRISE FLOW 5000 S5,SCANNER HP SCANJET,777608.8888888889,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI77780,TRITURADORA DE PAPEL DAHLE 206-40304 25 HOJAS TIRA 60 L,TRITURADORA PAPEL,828493.3333333333,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI29507,IMPRESORA EPSON MULTIFUNCIONAL WORKFORCE WF-6590PRO,IMPRESORA EPSON MULTIFUNCIONAL,800576.6666666666,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI28638,IMPRESORA MULTIFUNCIONAL EPSON ECOTANK L8160,IMPRESORA EPSON,818297.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI77159,TRITURADORA DE PAPEL DAHLE 406-50314 20 HOJAS 60 L,TRITURADORA PAPEL,914825.5555555555,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI5HB06A,"PLOTTER HP 24"" DESIGNJET T250",PLOTTER DESIGNJET,840594.4444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HP
PRI28256,VIDEOPROYECTOR EPSON POWERLITE X49 3600 LM BLANCO,VIDEOPROYECTOR EPSON POWERLITE,864406.6666666666,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI26285,DIARIO MURAL BISILQUE 18 A4 97.3X140 CM,DIARIO MURAL BISILQUE,944906.6666666666,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BISILQUE
PRI78320,TRITURADORA DE PAPEL FELLOWES 125CI 20 HOJAS,TRITURADORA DE PAPEL,950203.3333333333,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,FELLOWES
PRI82631,TRITURADORA DE PAPEL HSM SECURIO B22 22 A 24 HOJAS,TRITURADORA PAPEL,956638.8888888889,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,HSM
PRI29216,IMPRESORA CANON IMAGEPROGRAF TC-20,IMPRESORA IMAGEPROGRAF,981944.4444444444,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,CANON
PRI75337,MAQUINA PLASTIFICADORA FELLOWES VOYAGER A3 DOBLE CARTA,MAQUINA PLASTIFICADORA FELLOWES,999373.3333333333,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,FELLOWES
PRI26714,IMPRESORA BROTHER MULTIFUNCIONAL MFC-L6915DW,IMPRESORA MULTIFUNCIONAL,1016147.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI34156,TRITURADORA DE PAPEL DAHLE TIRA 110-40406 25 HOJAS,TRITURADORA DE PAPEL,1043262.2222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI28113,PROYECTOR EPSON POWERLITE W49 + 3800 LUMENES WXGA,PROYECTOR EPSON POWERLITE,1074778.8888888888,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI22701,IMPRESORA BROTHER MULTIFUNCIONAL MFC-T4500DW,IMPRESORA MULTIFUNCIONAL,1079870.0,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
PRI21297,IMPRESORA EPSON MULTIFUNCIONAL ECOTANK L14150,IMPRESORA MULTIFUNCIONAL,1101572.2222222222,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,EPSON
PRI77781,TRITURADORA DE PAPEL DAHLE 210-40404 100 L CORTE EN TIRAS 20 HOJAS,TRITURADORA PAPEL,1114498.8888888888,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,DAHLE
PRI70401,CAFETERA GAGGIA MAGENTA PRESTIGE,CAFETERA MAGENTA,1127267.7777777778,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,GAGGIA
PRI78140,FILTRO MIXTO 3M VAPORES GASES Y PARTICULAS SERIE 6000,FILTRO MIXTO,1130238.8888888888,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,3M
PRI29662,IMPRESORA BROTHER MFC-L8900CDW LASER/COLOR/WIFI/DUPLEX,IMPRESORA BROTHER MFC,1137888.8888888888,Tiempo a convenir,Retiro en Estación Central RM o envío pagado por el cliente,,PRISA,BROTHER
